dataset,m,ks,depth,num_layers,num_heads,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
NASA,16,5,1,2,8,B0007,0.0020761319513743,0.0006685918022412,0.0171065644652712,0.0252849431841641,57,0.2573676078350513
NASA,16,5,1,2,8,B0018,0.0019389233978775,0.0027681581753616,0.0236711136616945,0.052078076062507,37,0.3175023104015149
NASA,16,5,1,3,1,B0005,0.0020703883016143,0.0019648139277705,0.0123500583898833,0.0441538397559901,38,0.3940515066015309
NASA,16,5,1,3,1,B0006,0.0038817116609689,0.0024104246404021,0.0316973628773303,0.0480619641390097,42,0.378507298807944
NASA,16,5,1,3,1,B0007,0.0046215613320883,0.0010799044699524,0.015456565782691,0.0324963679742872,85,0.3320254870823451
NASA,16,5,1,3,1,B0018,0.0693422553595155,0.0688977955530087,0.1447969439900411,0.2584592414885792,2,0.4038466431877829
NASA,16,5,1,3,2,B0005,0.0021263166881081,0.0019357508172106,0.010763565607427,0.0438653087705941,38,0.3980110226006343
NASA,16,5,1,3,2,B0006,0.0030268471243537,0.0038524034898728,0.0299623584565778,0.0613402738302027,36,0.3883935809135437
NASA,16,5,1,3,2,B0007,0.0035810623473177,0.0011012740811565,0.0154736507313122,0.0328227163131788,38,0.342400624834258
NASA,16,5,1,3,2,B0018,0.0061141417536418,0.0033920395653694,0.0272938428194483,0.0575981263512017,27,0.416858064367416
NASA,16,5,1,3,4,B0005,0.0019976950028318,0.0018439535051584,0.015893416508958,0.0426461413721612,38,0.4065680791591776
NASA,16,5,1,3,4,B0006,0.0029211362019519,0.0036401208490133,0.0405754185781471,0.0589532394210914,26,0.3891322301781695
NASA,16,5,1,3,4,B0007,0.0030592447146773,0.0009643629287893,0.0164422702307822,0.0306158142171824,34,0.3469068518391362
NASA,16,5,1,3,4,B0018,0.0059523269883356,0.0034529099551339,0.0531434591272345,0.0563070794775319,7,0.4257955816056993
NASA,16,5,1,3,8,B0005,0.0019073028498413,0.0016685220798535,0.0124183450246249,0.040658339057261,38,0.4023106796988125
NASA,16,5,1,3,8,B0006,0.0025507586330852,0.0039724693633615,0.0323871997436086,0.0621898400802524,36,0.3998126259871891
NASA,16,5,1,3,8,B0007,0.0029709323619802,0.0011227325012441,0.0179166985248372,0.0330247137519475,34,0.3505886528227064
NASA,16,5,1,3,8,B0018,0.0023908226382142,0.0031490750455607,0.0247443307276408,0.055568398147753,27,0.4328712402506077
NASA,16,5,1,4,1,B0005,0.0024443937952376,0.0023312902631005,0.0123197768066589,0.0481260075319512,30,0.4923967456817626
NASA,16,5,1,4,1,B0006,0.002939464863051,0.0022841233682508,0.0248183564018067,0.0471436983393109,28,0.4921432534853617
NASA,16,5,1,4,1,B0007,0.0020222163422861,0.0012798035808373,0.0158660947416661,0.0354207609203204,78,0.4286245642876138
NASA,16,5,1,4,1,B0018,0.0043193767002473,0.004010839232554,0.0333181645705232,0.0624486133308832,21,0.5265664530963432
NASA,16,5,1,4,2,B0005,0.002532140859826,0.0022217636069399,0.0124132956297694,0.0469718502002409,30,0.5147754669189453
NASA,16,5,1,4,2,B0006,0.0079268493943593,0.003563743783161,0.0289869927049376,0.0589891450997344,29,0.5067773692461909
NASA,16,5,1,4,2,B0007,0.00383676479881,0.0010217436720267,0.0152500210843193,0.0315988510019053,51,0.4427232473668918
NASA,16,5,1,4,2,B0018,0.006623473833315,0.0033978521823883,0.0591802693276503,0.0552052693176996,18,0.5372755464754606
NASA,16,5,1,4,4,B0005,0.0022116662003099,0.001668003580562,0.01123832947939,0.0406862826837689,55,0.5063329569498698
