dataset,ks,depth,num_layers,num_heads,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
NASA,7,2,3,4,B0007,0.003228641115128994,0.0010573678984656,0.015182265083448934,0.0321608109359654,44,1.233827117830515
NASA,7,2,3,4,B0018,0.00494164436046655,0.0028405787500863275,0.036568576985788345,0.052027422230293746,13,1.5086648897691206
NASA,7,2,3,8,B0005,0.0051761548437008805,0.002377152894041501,0.022469654202665952,0.048235508669038835,21,1.4031889845685261
NASA,7,2,3,8,B0006,0.0034409151412546635,0.004226779798045754,0.033119222457470295,0.0641645663461984,17,1.3846283281171643
NASA,7,2,3,8,B0007,0.004070767537794179,0.0014878641231916845,0.02694288953291622,0.03762010416652479,27,1.2462268839491175
NASA,7,2,3,8,B0018,0.0063004840242986875,0.003988362693538268,0.03525855201862858,0.062161452574796904,12,1.4536864086985588
NASA,7,2,4,1,B0005,0.07035291906107556,0.0764969876036048,0.11335479213338881,0.2742481693254916,3,1.772909216258837
NASA,7,2,4,1,B0006,0.004401210886002941,0.0044185031826297445,0.032298459423650686,0.06568244903497858,24,1.7315920428796248
NASA,7,2,4,1,B0007,0.004678369189302127,0.0012140460457885638,0.01997220697809031,0.03426597602340896,30,1.553490824699402
NASA,7,2,4,1,B0018,0.00519974985703205,0.0036080317804589868,0.039901327856858536,0.058726656040147436,13,1.9160124244111958
NASA,7,2,4,2,B0005,0.07037741555408998,0.07643303764052689,0.11334237425825801,0.27413206442041865,3,1.87691040661024
NASA,7,2,4,2,B0006,0.003581522540612654,0.00429092828805248,0.021990027338346135,0.06513503018601662,39,1.8349977913549391
NASA,7,2,4,2,B0007,0.0026215584301907155,0.0008283564471639693,0.018987668610764293,0.028147882434767665,43,1.6179007651313904
NASA,7,2,4,2,B0018,0.0020083339719955498,0.003198001223305861,0.02300478796962246,0.05608100583758895,49,1.9650693492612976
NASA,7,2,4,4,B0005,0.07027965953404253,0.07666960870847106,0.11329297917580403,0.2745652562863178,3,1.8966093270674995
NASA,7,2,4,4,B0006,0.004218130668794567,0.0042498670518398285,0.03283815487924511,0.06435862571081484,22,1.808109266417367
NASA,7,2,4,4,B0007,0.0027824584135992658,0.0010167066589929163,0.014352410523504203,0.03156117095478667,44,1.6432183273136616
NASA,7,2,4,4,B0018,0.002822741720592603,0.0038719786486277976,0.03182224574574544,0.06140613379408815,44,1.9933364130556583
NASA,7,2,4,8,B0005,0.07033263113011014,0.07658913847990334,0.1131434751207312,0.2744248373658479,3,1.8503266521122144
NASA,7,2,4,8,B0006,0.003640432037751783,0.0041255506221205,0.03371100011451759,0.06333962059530619,22,1.8646646965117681
