dataset,model_dim,ks,depth,num_layers,num_heads,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
NASA,64,2,1,3,4,B0005,0.07699475234205072,0.07746933540329337,0.16780943821521604,0.27322762643437165,2,0.41769367998296564
NASA,64,2,1,3,4,B0006,0.06595147130164233,0.06445816329990824,0.08963904478765293,0.25229872613382387,52,0.41031551029947066
NASA,64,2,1,3,4,B0007,0.003060990918634666,0.0011314633607980794,0.016159574047441862,0.033246806795635776,44,0.35931292176246643
NASA,64,2,1,3,4,B0018,0.17447361908853054,0.0722420724729697,0.24643709562563373,0.2572332567672894,1,0.4380189691271101
NASA,64,7,1,3,2,B0005,0.07694794779474085,0.0774548021145165,0.1663446335821927,0.2732905912847532,2,0.4666106809269298
NASA,64,7,1,3,2,B0006,0.06595423546704379,0.06446500852083166,0.08947109838484169,0.2523182550735343,52,0.4622334639231364
NASA,64,7,1,3,2,B0007,0.06354293309979969,0.06909078946337104,0.07340375060245469,0.26182432714060483,18,0.4132452826750906
NASA,64,7,1,3,2,B0018,0.06580237206071615,0.06662817765027285,0.059653094363257594,0.2574341241896598,9,0.4979093732505009
NASA,64,3,1,3,4,B0005,0.07698936184698885,0.0774705265648663,0.16784512536456278,0.27322760939139146,2,0.43642689964988013
NASA,64,3,1,3,4,B0006,0.06595141406763684,0.06445786108573277,0.08963720795686636,0.2522981908876947,52,0.42168163259824115
NASA,64,3,1,3,4,B0007,0.004540729491660993,0.0011531548574566842,0.011746264389712702,0.033754368187264544,47,0.37498761646783174
NASA,64,3,1,3,4,B0018,0.0726702135677139,0.0668519673248132,0.06613765478103577,0.2577102041555655,33,0.451052004436277
NASA,64,7,2,2,4,B0005,0.0015140882195820186,0.002177685561036924,0.01113758961083034,0.04653257981916881,40,0.4345653613408407
NASA,64,7,2,2,4,B0006,0.002794193199158392,0.003429400579382976,0.022044300515258766,0.05814469439951669,27,0.4079603286499673
NASA,64,7,2,2,4,B0007,0.0018178695010849172,0.0007494795485399663,0.010840948957084233,0.027161128918475323,53,0.35498618426388256
NASA,64,7,2,2,4,B0018,0.004208447120618075,0.0029234563698992133,0.019324604364283657,0.053722549938785155,25,0.4312568664550781
NASA,64,2,4,4,4,B0005,0.06334395249458877,0.07521731918677688,0.07782616234194199,0.27315128963839375,12,0.8909191861748695
NASA,64,2,4,4,4,B0006,0.06732624633745714,0.06459752563387156,0.08749578984170865,0.2526499048917424,3,0.8834112416143003
NASA,64,2,4,4,4,B0007,0.0640257058872117,0.06902457121759653,0.09920828606402668,0.2608454351636376,31,0.7771611774668974
NASA,64,2,4,4,4,B0018,0.06773627921938896,0.06658258413275082,0.061804977159440576,0.25729477380344906,15,0.969504942212786
NASA,64,7,4,3,4,B0005,0.06733496961268512,0.07521097641438246,0.07895175650981315,0.27310737453287626,12,0.7951907441020012
NASA,64,7,4,3,4,B0006,0.06440030275420709,0.051380020566284657,0.07134509932493391,0.2255460227674489,24,0.7731958844444968
NASA,64,7,4,3,4,B0007,0.004370821976206369,0.0010206319042481483,0.012011553206650205,0.03172072135722654,64,0.716036646139054
NASA,64,7,4,3,4,B0018,0.07464156144609053,0.06700122201194365,0.09041415081757657,0.2572620233439463,3,0.8598263782003651
